"method","pi1","pi2","pi3","beta1","beta3","lambda1","lambda2","lambda3","dQbeta1","dQbeta3"
"EM",0.125366617951332,0.619089898287046,0.255543483761622,1.55616757257274,78.5736711756446,1.04030266224942,0.0257337930470629,2.88235461527747e-152,8.88178419700125e-16,-7.105427357601e-15
"DAEM",0.333353227238347,0.333293545523305,0.333353227238347,0.945542832731874,0.945542832751188,0.0274669937009915,0.0218178785569307,0.0274669936985358,2.8421709430404e-13,-2.8421709430404e-14
"Barrier",0.126682171004328,0.617768867340259,0.255548961655413,0.999999995229935,78.5699392002657,1.0460045837981,0.0256903956686236,2.93062802932119e-152,2.09502273729502,-1.2892797940367e-10
"DHEM",0.126682171001658,0.617768867342874,0.255548961655468,0.999999995229935,78.5699392002294,1.04600458382236,0.0256903956687313,2.93062802979435e-152,2.09502273731775,-1.2892797940367e-10
"Adaptive DHEM",0.240507965324832,0.505485083870094,0.254006950805074,0.565998536432842,78.0918478720178,0.26105554764928,0.0250397304319495,2.45933469954959e-151,2.77596171116556e-06,-6.70019488779872e-08
